Frequency Hz,       Pin[Max Gain] dBm,  Max Gain dB,        Pout[Max] dBm,      Pin[Comp] dBm,      Gain[Comp] dB,      Pout[Comp] dBm      
1.5e+09             -25                 35.8572             10.8572             -22.0339            34.8572             12.8232             
1.54e+09            -25                 35.5402             10.5402             -22.4269            34.5402             12.1134             
1.58e+09            -25                 35.3375             10.3375             -21.5869            34.3375             12.7506             
1.62e+09            -25                 35.076              10.076              -21.7635            34.076              12.3126             
1.66e+09            -24.6939            34.5783             9.88443             -21.0182            33.5783             12.5601             
1.7e+09             -25                 34.25               9.25003             -21.0548            33.25               12.1952             
1.74e+09            -25                 33.8046             8.80464             -20.3104            32.8046             12.4942             
1.78e+09            -25                 33.3438             8.34382             -20.1541            32.3438             12.1897             
1.82e+09            -24.3878            32.8993             8.51153             -19.9259            31.8993             11.9733             
1.86e+09            -24.3878            32.321              7.93322             -18.9687            31.321              12.3523             
1.9e+09             -24.3878            31.8407             7.45297             -19.8484            30.8407             10.9923             
1.94e+09            -24.0816            31.2476             7.16599             -18.1464            30.2476             12.1013             
1.98e+09            -25                 30.7912             5.79117             -18.1708            29.7912             11.6204             
2.02e+09            -24.3878            30.2216             5.83384             -17.7803            29.2216             11.4413             
2.06e+09            -24.6939            29.9299             5.23607             -17.8515            28.9299             11.0784             
2.1e+09             -25                 29.5553             4.55531             -17.169             28.5553             11.3863             
2.14e+09            -25                 29.3899             4.38993             -16.7867            28.3899             11.6032             
2.18e+09            -24.6939            29.379              4.68516             -17.7214            28.379              10.6576             
2.22e+09            -24.6939            29.493              4.79916             -16.9516            28.493              11.5414             
2.26e+09            -25                 29.8282             4.82823             -17.4244            28.8282             11.4039             
2.3e+09             -24.0816            29.9227             5.84108             -17.1393            28.9227             11.7834             
2.34e+09            -25                 30.467              5.46696             -18.1814            29.467              11.2856             
2.38e+09            -24.3878            30.7109             6.3231              -17.7391            29.7109             11.9717             
2.42e+09            -25                 31.19               6.18996             -18.2309            30.19               11.959              
2.46e+09            -25                 31.397              6.39695             -18.4501            30.397              11.9469             
2.5e+09             -25                 31.6982             6.69819             -19.0652            30.6982             11.633              
2.54e+09            -25                 31.9725             6.97246             -18.5727            30.9725             12.3998             
2.58e+09            -24.6939            32.0953             7.40139             -19.7826            31.0953             11.3127             
2.62e+09            -24.3878            32.3632             7.97547             -19.2135            31.3632             12.1497             
2.66e+09            -25                 32.37               7.36996             -19.7142            31.37               11.6557             
2.7e+09             -25                 32.511              7.51101             -20.5594            31.511              10.9516             
2.74e+09            -24.3878            32.4737             8.08593             -18.737             31.4737             12.7367             
2.78e+09            -25                 32.5714             7.57139             -20.8606            31.5714             10.7108             
2.82e+09            -24.0816            32.5201             8.43851             -19.1686            31.5201             12.3516             
2.86e+09            -24.0816            32.5565             8.47482             -19.9313            31.5565             11.6252             
2.9e+09             -24.6939            32.4746             7.78072             -19.7109            31.4746             11.7637             
2.94e+09            -25                 32.4857             7.48573             -19.5829            31.4857             11.9028             
2.98e+09            -24.6939            32.3792             7.68533             -19.981             31.3792             11.3982             
3.02e+09            -25                 32.3298             7.32985             -19.1784            31.3298             12.1515             
3.06e+09            -25                 32.1873             7.18731             -20.0453            31.1873             11.142              
3.1e+09             -25                 32.0673             7.06733             -19.0349            31.0673             12.0324             
3.14e+09            -24.6939            31.9737             7.27979             -19.7567            30.9737             11.217              
3.18e+09            -24.6939            31.7875             7.09359             -18.803             30.7875             11.9845             
3.22e+09            -25                 31.7437             6.7437              -19.4001            30.7437             11.3436             
3.26e+09            -25                 31.52               6.51999             -18.894             30.52               11.626              
3.3e+09             -24.3878            31.429              7.04121             -18.4445            30.429              11.9844             
3.34e+09            -25                 31.1942             6.19423             -19.3227            30.1942             10.8715             
3.38e+09            -25                 31.0479             6.04794             -18.1282            30.0479             11.9197             
3.42e+09            -24.3878            30.9476             6.55989             -18.0284            29.9476             11.9193             
3.46e+09            -25                 30.8472             5.84719             -18.7224            29.8472             11.1248             
3.5e+09             -25                 30.6289             5.6289              -18.0909            29.6289             11.538              
3.54e+09            -24.6939            30.4296             5.73574             -17.6052            29.4296             11.8244             
3.58e+09            -24.3878            30.3577             5.96994             -18.3528            29.3577             11.0049             
3.62e+09            -25                 30.081              5.08095             -17.4313            29.081              11.6496             
3.66e+09            -25                 30.0349             5.03494             -17.9016            29.0349             11.1334             
3.7e+09             -25                 29.8376             4.83757             -16.9615            28.8376             11.876              
3.74e+09            -24.3878            29.6314             5.24367             -17.2566            28.6314             11.3748             
3.78e+09            -24.3878            29.4814             5.09365             -17.0963            28.4814             11.3851             
3.82e+09            -23.1633            29.2815             6.1182              -16.3516            28.2815             11.9299             
3.86e+09            -24.6939            29.1543             4.46043             -17.0313            28.1543             11.123              
3.9e+09             -25                 28.9931             3.99309             -16.2345            27.9931             11.7585             
3.94e+09            -24.6939            28.9038             4.20995             -17.2711            27.9038             10.6327             
3.98e+09            -25                 28.7432             3.74323             -15.6226            27.7432             12.1206             
4.02e+09            -24.6939            28.5634             3.86949             -16.8404            27.5634             10.7229             
4.06e+09            -24.6939            28.384              3.69011             -15.8755            27.384              11.5084             
4.1e+09             -24.6939            28.239              3.54516             -15.7277            27.239              11.5113             
4.14e+09            -24.3878            28.043              3.65524             -15.8461            27.043              11.1969             
4.18e+09            -25                 27.945              2.94495             -14.9785            26.945              11.9664             
4.22e+09            -24.6939            27.7891             3.09526             -16.689             26.7891             10.1001             
4.26e+09            -24.6939            27.6176             2.92372             -14.5435            26.6176             12.0741             
4.3e+09             -25                 27.4956             2.4956              -15.6113            26.4956             10.8843             
4.34e+09            -24.0816            27.332              3.25037             -15.3019            26.332              11.0302             
4.38e+09            -23.1633            27.2702             4.10693             -14.8109            26.2702             11.4593             
4.42e+09            -24.0816            27.0561             2.97446             -14.6669            26.0561             11.3892             
4.46e+09            -24.3878            26.9132             2.52542             -14.6969            25.9132             11.2162             
4.5e+09             -25                 26.7993             1.79934             -15.0889            25.7993             10.7105             
4.54e+09            -24.6939            26.6447             1.95085             -14.0048            25.6447             11.6399             
4.58e+09            -24.6939            26.5935             1.89962             -14.3125            25.5935             11.281              
4.62e+09            -24.3878            26.408              2.02027             -14.3965            25.408              11.0115             
4.66e+09            -24.0816            26.3496             2.26796             -14.0241            25.3496             11.3255             
4.7e+09             -24.3878            26.1245             1.73678             -13.882             25.1245             11.2425             
4.74e+09            -25                 26.0247             1.02472             -13.8607            25.0247             11.164              
4.78e+09            -23.4694            25.9032             2.43378             -13.3538            24.9032             11.5494             
4.82e+09            -24.3878            25.7422             1.35444             -14.4349            24.7422             10.3073             
4.86e+09            -23.4694            25.6509             2.18156             -12.7241            24.6509             11.9268             
4.9e+09             -24.3878            25.4964             1.10867             -13.9772            24.4964             10.5192             
4.94e+09            -24.3878            25.4269             1.03915             -13.1736            24.4269             11.2533             
4.98e+09            -24.0816            25.2649             1.18324             -13.1837            24.2649             11.0812             
5.02e+09            -24.6939            25.1815             0.487656            -13.4552            24.1815             10.7263             
