!CSV A.01.01
!Agilent Technologies,N5241A,MY52011414,A.09.80.16
!Date: Friday, February, 27, 2015 18:02:12
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",201,,,,,,,
"Num Power Points:",21,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2,
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
2.05e+009,-6.47621,100.689,19.7683,148.828,35.6793,-64.9499,15.911,146.223,0,0,0,0
2.05e+009,-6.5009,100.484,20.596,149.625,36.561,-64.16,15.965,146.216,0.0540081,-0.00706825,0,0
2.05e+009,-6.57471,100.28,21.4758,150.44,37.4899,-63.3168,16.0141,146.243,0.103088,0.0202314,0,0
2.05e+009,-6.60767,100.048,22.2997,151.802,38.3879,-61.9711,16.0882,146.227,0.177187,0.00416834,0,0
2.05e+009,-6.69613,99.8516,23.1433,153.145,39.2807,-60.6642,16.1374,146.191,0.226452,-0.0312966,0,0
2.05e+009,-6.74435,99.7901,23.9771,154.424,40.2007,-59.4145,16.2236,146.162,0.312598,-0.0606503,0,0
2.05e+009,-6.83196,99.5906,24.8297,155.99,41.1136,-58.0002,16.2839,146.009,0.372923,-0.213127,0,0
2.05e+009,-6.90993,99.4126,25.6792,157.08,42.0417,-57.0929,16.3626,145.827,0.451584,-0.395646,0,0
2.05e+009,-6.99979,99.1442,26.5305,158.421,42.9598,-56.0634,16.4293,145.515,0.518336,-0.707277,0,0
2.05e+009,-7.09817,99.0039,27.3549,160.043,43.8359,-54.7204,16.481,145.237,0.570039,-0.985635,0,0
2.05e+009,-7.20984,98.5702,28.1887,161.158,44.7213,-54.1742,16.5326,144.667,0.621609,-1.55513,0,0
2.05e+009,-7.35723,98.117,29.039,162.444,45.5773,-53.594,16.5383,143.962,0.627342,-2.26031,0,0
2.05e+009,-7.54637,97.2967,29.9034,163.842,46.4212,-53.3051,16.5178,142.853,0.606845,-3.36991,0,0
2.05e+009,-7.80236,95.9082,30.7328,165.252,47.1406,-53.3475,16.4078,141.401,0.49686,-4.8216,0,0
2.05e+009,-8.10228,93.6629,31.5878,166.739,47.7485,-53.5813,16.1608,139.68,0.249798,-6.54281,0,0
2.05e+009,-8.2679,91.0783,32.4127,168.435,48.1811,-53.3181,15.7684,138.246,-0.142621,-7.97618,0,0
2.05e+009,-8.30469,88.3456,33.2611,169.514,48.5151,-53.5521,15.254,136.934,-0.65703,-9.28903,0,0
2.05e+009,-8.26929,85.8404,34.1089,170.704,48.7718,-53.478,14.6629,135.818,-1.24813,-10.4044,0,0
2.05e+009,-8.20593,83.4657,34.9563,172.501,48.9828,-52.8205,14.0264,134.679,-1.88454,-11.5437,0,0
2.05e+009,-8.16028,81.2022,35.7938,173.878,49.1454,-52.5481,13.3516,133.574,-2.55934,-12.6489,0,0
2.05e+009,-8.11897,78.8774,36.6595,174.874,49.2828,-52.7328,12.6233,132.393,-3.28772,-13.8292,0,0
2.051e+009,-6.44229,100.129,19.7883,135.076,35.6712,-79.0779,15.8829,145.846,0,0,0,0
2.051e+009,-6.4861,100.044,20.6236,135.821,36.5484,-78.2043,15.9248,145.975,0.0419301,0.128757,0,0
2.051e+009,-6.55558,99.9797,21.4933,136.598,37.4628,-77.2916,15.9695,146.111,0.0865585,0.264392,0,0
2.051e+009,-6.61032,99.6875,22.3282,138.32,38.3713,-75.6531,16.0431,146.027,0.160212,0.180716,0,0
2.051e+009,-6.67428,99.5407,23.1704,139.45,39.2732,-74.5881,16.1028,145.962,0.219882,0.115845,0,0
2.051e+009,-6.72628,99.4634,23.9824,140.9,40.1669,-73.1125,16.1845,145.988,0.301565,0.141712,0,0
2.051e+009,-6.80751,99.2049,24.8497,142.143,41.103,-72.0569,16.2534,145.8,0.370462,-0.0461189,0,0
2.051e+009,-6.8795,98.9312,25.663,143.455,41.9944,-71.0207,16.3313,145.524,0.448445,-0.321634,0,0
