! R&S PA Compression Test Version 1.6
! (C) 2016 Rohde & Schwarz North America
! 
! Fri Feb 04 01:34:17 2016
! 
! VNA INSTRUMENT INFO
! Connection:       TCPIP
! Address:          127.0.0.1
! Make:             Rohde & Schwarz
! Model:            ZVA
! Serial No:        1145101099999999
! Firmware Version: 3.60
! Min Frequency:    300 KHz
! Max Frequency:    8 GHz
! Number of Ports:  4
! Options:
!     ZVA-K7
!     ZVA-K17
!     ZVAB-SIM
!     ZVT8-B63
!     ZVT8-B64
!     ZVT8-B65
!     ZVT8-B66
!     ZVT8-B68
!     ZVA8-B16
!     ZVA8-B21
!     ZVA8-B22
!     ZVA8-B23
!     ZVA8-B24
!     ZVA8-B31
!     ZVA8-B32
!     ZVA8-B33
!     ZVA8-B34
!     ZVT8-B67
!     ZVA-B7
! 
! PULSED RF? No
! 
! SETTINGS
! Start Frequency:        500 MHz
! Stop Frequency:         6 GHz
! Frequency Points:       51
! IF BW:                  100 KHz
! 
! Start Power:            -20 dBm
! Stop Power:             10 dBm
! Power Points:           61
! Compression value:      1 dB
! Include gain expansion? Yes
! Stop at compression?    Yes
! Post Condition:         None
! 
! Channel:                1
! Input port:             1
! Output port:            2
! 
! 
Frequency_Hz,             Pin_dBm,                  Pin_deg,                  Pout_dBm,                 Pout_deg,                 S11_dB,                   S11_deg,                  S21_dB,                   S21_deg,                  S12_dB,                   S12_deg,                  S22_dB,                   S22_deg
5.000000000000000e+08,    -1.981695721263262e+01,   0.000000000000000e+00,    -4.272959254408224e+00,   1.450272603436855e+02,    -1.542992292131130e+01,   1.573015115715503e+02,    1.554399795822440e+01,    1.450272603436855e+02,    -2.258706297979483e+01,   -3.047335746403417e+01,   -1.695199195285826e+01,   5.820452467390710e+01
5.000000000000000e+08,    -1.944331547524475e+01,   0.000000000000000e+00,    -3.766056028086894e+00,   1.454558352712137e+02,    -1.542734653686542e+01,   1.565468459854294e+02,    1.567725944715785e+01,    1.454558352712137e+02,    -2.256025874296695e+01,   -3.077943033437449e+01,   -1.662280323627657e+01,   5.127747263710663e+01
5.000000000000000e+08,    -1.893098775192884e+01,   0.000000000000000e+00,    -3.242084094049723e+00,   1.451627881895561e+02,    -1.538075727128431e+01,   1.559996294884673e+02,    1.568890365787912e+01,    1.451627881895561e+02,    -2.261439453914635e+01,   -3.069573734561448e+01,   -1.700574747686902e+01,   5.122843368360204e+01
5.000000000000000e+08,    -1.838347746564737e+01,   0.000000000000000e+00,    -2.763460989034982e+00,   1.444051303795291e+02,    -1.545868789866762e+01,   1.549978913509091e+02,    1.562001647661239e+01,    1.444051303795291e+02,    -2.277254138118853e+01,   -2.805483709435806e+01,   -1.743487834368455e+01,   4.943102913477097e+01
5.000000000000000e+08,    -1.808214004616430e+01,   0.000000000000000e+00,    -2.289631137463870e+00,   1.453711246088985e+02,    -1.523804200064046e+01,   1.570722472798857e+02,    1.579250890870043e+01,    1.453711246088985e+02,    -2.244987414659975e+01,   -3.035802356215655e+01,   -1.931779211105046e+01,   5.334692966731769e+01
5.000000000000000e+08,    -1.745418925166923e+01,   0.000000000000000e+00,    -1.786395514356919e+00,   1.450778053964613e+02,    -1.541727632061786e+01,   1.567276813675747e+02,    1.566779373731232e+01,    1.450778053964613e+02,    -2.274393247489904e+01,   -3.062841257777879e+01,   -1.679826524311258e+01,   4.879795925031010e+01
5.000000000000000e+08,    -1.686417398707508e+01,   0.000000000000000e+00,    -1.221249452569197e+00,   1.450932906888148e+02,    -1.550314016411972e+01,   1.563973333075127e+02,    1.564292453450588e+01,    1.450932906888148e+02,    -2.240830913043260e+01,   -3.023580611032469e+01,   -1.738701026220980e+01,   5.162736609083898e+01
5.000000000000000e+08,    -1.634207358289760e+01,   0.000000000000000e+00,    -7.616652068052367e-01,   1.451803882816876e+02,    -1.553070688233706e+01,   1.562786783601240e+02,    1.558040837609236e+01,    1.451803882816876e+02,    -2.277343760448767e+01,   -3.029463151361916e+01,   -1.816816297898988e+01,   5.060199880074011e+01
5.000000000000000e+08,    -1.596067372190317e+01,   0.000000000000000e+00,    -2.780413976694209e-01,   1.448091491736000e+02,    -1.542900014017158e+01,   1.556750650111711e+02,    1.568263232423375e+01,    1.448091491736000e+02,    -2.251201983501329e+01,   -3.076143632700740e+01,   -1.716726606926619e+01,   4.570875490914564e+01
5.000000000000000e+08,    -1.532200077443855e+01,   0.000000000000000e+00,    2.264065256041743e-01,    1.450805092708354e+02,    -1.548558528153728e+01,   1.561114999720280e+02,    1.554840730004272e+01,    1.450805092708354e+02,    -2.253932568464601e+01,   -2.977274106835094e+01,   -1.796876180301103e+01,   5.235622512182410e+01
