! (Pin, Pout) in dBm
! @ 3.910 GHz
-25     ,  -10.34861192817
-24.75  ,  -10.095775149104
-24.5   ,  -9.8508818116928
-24.25  ,  -9.5928873166
-24     ,  -9.3447613129086
-23.75  ,  -9.0955216972493
-23.5   ,  -8.8439931423578
-23.25  ,  -8.5914380873091
-23     ,  -8.3443872948036
-22.75  ,  -8.0957562275487
-22.5   ,  -7.8458372110599
-22.25  ,  -7.5933590630216
-22     ,  -7.3460306481371
-21.75  ,  -7.0933288972412
-21.5   ,  -6.8500409833211
-21.25  ,  -6.5977620526687
-21     ,  -6.3486803283723
-20.75  ,  -6.0926438595123
-20.5   ,  -5.8475355172864
-20.25  ,  -5.5973724699413
-20     ,  -5.3530575725066
-19.75  ,  -5.0960755187043
-19.5   ,  -4.8478566887191
-19.25  ,  -4.5987040710829
-19     ,  -4.3440054298024
-18.75  ,  -4.0983652483461
-18.5   ,  -3.8477521912747
-18.25  ,  -3.5972788712723
-18     ,  -3.3527411872036
-17.75  ,  -3.097300010548
-17.5   ,  -2.8492717654735
-17.25  ,  -2.5984055569635
-17     ,  -2.3491014538956
-16.75  ,  -2.1009093501519
-16.5   ,  -1.8512106306425
-16.25  ,  -1.5988931051913
-16     ,  -1.3523600966299
-15.75  ,  -1.1042492344579
-15.5   ,  -0.85412554732982
-15.25  ,  -0.60392049240317
-15     ,  -0.3549017031669
-14.75  ,  -0.10669122806676
-14.5   ,  0.14410082416857
-14.25  ,  0.39549761516433
-14     ,  0.64358816053914
-13.75  ,  0.89573482132669
-13.5   ,  1.1416583725816
-13.25  ,  1.3921598150635
-13     ,  1.6381505307248
-12.75  ,  1.890251502625
-12.5   ,  2.1367041043343
-12.25  ,  2.3884310629935
-12     ,  2.6356968312707
-11.75  ,  2.8841554569615
-11.5   ,  3.1327480538062
-11.25  ,  3.3818609859567
-11     ,  3.6336135277716
-10.75  ,  3.8819407265865
-10.5   ,  4.1320648247795
-10.25  ,  4.3767674981856
-10     ,  4.6274731753768
-9.75   ,  4.8705569272687
-9.5    ,  5.1206561104679
-9.25   ,  5.3688990888062
-9      ,  5.6163690026768
-8.75   ,  5.8630041273836
-8.5    ,  6.1118996060696
-8.25   ,  6.3607595998473
-8      ,  6.6053912276512
-7.75   ,  6.8508728717891
-7.5    ,  7.0993716663139
-7.25   ,  7.3471904475938
-7      ,  7.5937455294363
-6.75   ,  7.8409197124341
-6.5    ,  8.0858586662986
-6.25   ,  8.3317611449642
-6      ,  8.5783697232956
-5.75   ,  8.8251981946647
-5.5    ,  9.066952722156
-5.25   ,  9.3136799924911
-5      ,  9.5586707291291
-4.75   ,  9.801214723382
-4.5    ,  10.043375457503
-4.25   ,  10.285979355006
-4      ,  10.530617880628
-3.75   ,  10.772250116706
-3.5    ,  11.014396169578
-3.25   ,  11.253339548178
-3      ,  11.494202157058
-2.75   ,  11.734885577212
-2.5    ,  11.969906672341
-2.25   ,  12.206370228672
-2      ,  12.441614373537
-1.75   ,  12.677058185058
-1.5    ,  12.906144703508
-1.25   ,  13.137457912351
-1      ,  13.362296451518
-0.75   ,  13.584714922585
-0.5    ,  13.804505301243
-0.25   ,  14.019997420947
0       ,  14.229528472428
0.25    ,  14.428786137107
0.5     ,  14.623005052206
0.75    ,  14.811899722899
1       ,  14.991627273833
1.25    ,  15.162558905093
1.5     ,  15.327608797657
1.75    ,  15.476783513651
2       ,  15.624048528385
2.25    ,  15.761295912879
2.5     ,  15.892414128646
2.75    ,  16.017036206517
3       ,  16.130667675384
3.25    ,  16.239438999718
3.5     ,  16.349502001089
3.75    ,  16.457530222882
4       ,  16.550739129206
4.25    ,  16.647179893257
4.5     ,  16.72905681146
4.75    ,  16.818549024037
5       ,  16.899482671128
5.25    ,  17.030802266801
5.5     ,  17.105493842345
5.75    ,  17.199799107306
6       ,  17.288868927261
6.25    ,  17.340259365089
6.5     ,  17.389117190207
6.75    ,  17.442692582361
7       ,  17.498115653594
7.25    ,  17.552444106351
7.5     ,  17.599978189299
7.75    ,  17.655889423426
8       ,  17.716156166765
8.25    ,  17.718290292716
8.5     ,  17.726175777433
8.75    ,  17.741618009693
9       ,  17.753883496157
9.25    ,  17.798742855945
9.5     ,  17.842181647571
9.75    ,  17.889874941803
10      ,  17.944242186677
