! (Pin, Pout) in dBm
! @ 425.009 MHz
-25     ,  -9.5240418247251
-24.75  ,  -9.270384055688
-24.5   ,  -9.0217149469511
-24.25  ,  -8.7734265943131
-24     ,  -8.5197362159675
-23.75  ,  -8.2774385520577
-23.5   ,  -8.0224268762474
-23.25  ,  -7.7776723260335
-23     ,  -7.5267993965298
-22.75  ,  -7.2758748259433
-22.5   ,  -7.0225674522589
-22.25  ,  -6.7783797597062
-22     ,  -6.5281649986399
-21.75  ,  -6.2766779877998
-21.5   ,  -6.0273799567045
-21.25  ,  -5.7711798068967
-21     ,  -5.5255956500427
-20.75  ,  -5.2708162221409
-20.5   ,  -5.0266461415906
-20.25  ,  -4.7726037424665
-20     ,  -4.5240496391343
-19.75  ,  -4.2743115210421
-19.5   ,  -4.0291978208409
-19.25  ,  -3.776994189569
-19     ,  -3.5238667092008
-18.75  ,  -3.2794841567095
-18.5   ,  -3.0233860180002
-18.25  ,  -2.7764954770681
-18     ,  -2.5273214903593
-17.75  ,  -2.2745206250098
-17.5   ,  -2.023237012867
-17.25  ,  -1.7771863666817
-17     ,  -1.5263804189153
-16.75  ,  -1.2754894805709
-16.5   ,  -1.0269770454575
-16.25  ,  -0.77755268944257
-16     ,  -0.52826642134985
-15.75  ,  -0.27868055611083
-15.5   ,  -0.027751769500494
-15.25  ,  0.22288536046849
-15     ,  0.47341978757718
-14.75  ,  0.72149566777095
-14.5   ,  0.97348036518375
-14.25  ,  1.2193690190653
-14     ,  1.4715120049064
-13.75  ,  1.7197774687932
-13.5   ,  1.9702296309847
-13.25  ,  2.2185994960688
-13     ,  2.4718078714522
-12.75  ,  2.7198889794556
-12.5   ,  2.9709413544884
-12.25  ,  3.2197392223335
-12     ,  3.4702248537432
-11.75  ,  3.7180924204191
-11.5   ,  3.9668092345224
-11.25  ,  4.2189698584072
-11     ,  4.4695402557685
-10.75  ,  4.7168830848369
-10.5   ,  4.9671381872177
-10.25  ,  5.2162211479115
-10     ,  5.4670785095165
-9.75   ,  5.7154800938223
-9.5    ,  5.9662240354657
-9.25   ,  6.2156101603984
-9      ,  6.4654968049184
-8.75   ,  6.7150821486758
-8.5    ,  6.9664947098853
-8.25   ,  7.2148168113062
-8      ,  7.465231388826
-7.75   ,  7.7150696038699
-7.5    ,  7.9623347946255
-7.25   ,  8.2121089071109
-7      ,  8.4623310466223
-6.75   ,  8.7106191499996
-6.5    ,  8.9588100830282
-6.25   ,  9.2093262617108
-6      ,  9.4590679736727
-5.75   ,  9.7066874314629
-5.5    ,  9.9552016872666
-5.25   ,  10.204639447144
-5      ,  10.453695502268
-4.75   ,  10.703003372193
-4.5    ,  10.952356989555
-4.25   ,  11.20021375128
-4      ,  11.448530563872
-3.75   ,  11.697266302106
-3.5    ,  11.944854600945
-3.25   ,  12.192876303524
-3      ,  12.442979074948
-2.75   ,  12.688380959244
-2.5    ,  12.937108589073
-2.25   ,  13.184507351377
-2      ,  13.432483135906
-1.75   ,  13.679094343823
-1.5    ,  13.927023674337
-1.25   ,  14.17467404463
-1      ,  14.419698203008
-0.75   ,  14.665381201808
-0.5    ,  14.911505113689
-0.25   ,  15.157299495239
0       ,  15.400035094097
0.25    ,  15.645061351131
0.5     ,  15.888413535219
0.75    ,  16.132153976239
1       ,  16.374328914601
1.25    ,  16.614608284521
1.5     ,  16.855504766479
1.75    ,  17.093509576668
2       ,  17.331729368702
2.25    ,  17.564106336118
2.5     ,  17.796422960709
2.75    ,  18.020933210261
3       ,  18.242924182874
3.25    ,  18.45080109379
3.5     ,  18.650688035567
3.75    ,  18.831125415676
4       ,  19.001476638937
4.25    ,  19.147522569552
4.5     ,  19.277984154533
4.75    ,  19.396055103579
5       ,  19.502474539859
5.25    ,  19.665422567825
5.5     ,  19.727074952142
5.75    ,  19.826414890551
6       ,  19.911623922492
6.25    ,  19.962922002387
6.5     ,  20.012363923935
6.75    ,  20.040881228022
7       ,  20.079702699572
7.25    ,  20.121822149096
7.5     ,  20.151417184672
7.75    ,  20.166820043692
8       ,  20.204214477998
8.25    ,  20.204957265344
8.5     ,  20.209667316956
8.75    ,  20.194606010043
9       ,  20.18123948943
9.25    ,  20.197027241252
9.5     ,  20.209594241395
9.75    ,  20.188747112616
10      ,  20.224316174923
