! (Pin, Pout) in dBm
! @ 9.000 KHz
-25     ,  -105.683349644
-24.75  ,  -100.61481245569
-24.5   ,  -95.812354426556
-24.25  ,  -111.92378075504
-24     ,  -111.61532829976
-23.75  ,  -94.588560117493
-23.5   ,  -95.108327943909
-23.25  ,  -102.88493127483
-23     ,  -97.867228465069
-22.75  ,  -99.632065811578
-22.5   ,  -98.25971414562
-22.25  ,  -105.34924289761
-22     ,  -97.858114342221
-21.75  ,  -92.232570581104
-21.5   ,  -109.06146454643
-21.25  ,  -104.93146210272
-21     ,  -89.031174818741
-20.75  ,  -111.75319535549
-20.5   ,  -101.97176499994
-20.25  ,  -104.40787747927
-20     ,  -89.248926324101
-19.75  ,  -98.915511574008
-19.5   ,  -97.370410288595
-19.25  ,  -99.89654989701
-19     ,  -95.716735005755
-18.75  ,  -94.91863061647
-18.5   ,  -93.626111534716
-18.25  ,  -105.98523128578
-18     ,  -100.55084334619
-17.75  ,  -97.747035747044
-17.5   ,  -96.820612026386
-17.25  ,  -95.091436992581
-17     ,  -97.086181716874
-16.75  ,  -90.010330429765
-16.5   ,  -107.11481363532
-16.25  ,  -95.720647877873
-16     ,  -92.924932125526
-15.75  ,  -90.711291461916
-15.5   ,  -99.763896467533
-15.25  ,  -90.338900157854
-15     ,  -91.389205581735
-14.75  ,  -96.933169409937
-14.5   ,  -99.554784840254
-14.25  ,  -93.898887059992
-14     ,  -96.974358545624
-13.75  ,  -101.9068233266
-13.5   ,  -91.098024532268
-13.25  ,  -97.857960003618
-13     ,  -94.808099595032
-12.75  ,  -100.32560124974
-12.5   ,  -92.649593579524
-12.25  ,  -97.064960331002
-12     ,  -92.837929408451
-11.75  ,  -99.86661913816
-11.5   ,  -89.290145760905
-11.25  ,  -104.93955018354
-11     ,  -95.453309472403
-10.75  ,  -91.957490848681
-10.5   ,  -90.763478398723
-10.25  ,  -92.568477080222
-10     ,  -89.333104938631
-9.75   ,  -94.093155227923
-9.5    ,  -93.243602974289
-9.25   ,  -93.123372902677
-9      ,  -94.261762038426
-8.75   ,  -89.325769654499
-8.5    ,  -89.998657021793
-8.25   ,  -88.023044881403
-8      ,  -90.853483437296
-7.75   ,  -92.005348756265
-7.5    ,  -87.289116146372
-7.25   ,  -92.198641471989
-7      ,  -90.292121722955
-6.75   ,  -94.360050971631
-6.5    ,  -89.082654311908
-6.25   ,  -84.535265761856
-6      ,  -91.996064631518
-5.75   ,  -87.261001727938
-5.5    ,  -84.808974663199
-5.25   ,  -90.555385863672
-5      ,  -85.832509739263
-4.75   ,  -85.53856098081
-4.5    ,  -84.716340264131
-4.25   ,  -87.456849883617
-4      ,  -84.158228462773
-3.75   ,  -85.943142910845
-3.5    ,  -87.344855155317
-3.25   ,  -87.322341793139
-3      ,  -84.947282628068
-2.75   ,  -81.75502668072
-2.5    ,  -84.575091546059
-2.25   ,  -86.204865504116
-2      ,  -86.712984389262
-1.75   ,  -85.78128146067
-1.5    ,  -83.707804895675
-1.25   ,  -84.182367259253
-1      ,  -83.87233271466
-0.75   ,  -82.592949721993
-0.5    ,  -82.956082911542
-0.25   ,  -81.774508176534
0       ,  -81.746482886023
0.25    ,  -81.3483927485
0.5     ,  -81.958226180119
0.75    ,  -82.114603822444
1       ,  -82.625346259155
1.25    ,  -81.37675969372
1.5     ,  -81.279684170066
1.75    ,  -80.651594524332
2       ,  -79.763792002028
2.25    ,  -80.174271241459
2.5     ,  -79.40208152568
2.75    ,  -78.648770379004
3       ,  -80.063861768798
3.25    ,  -79.576372023417
3.5     ,  -78.525170168154
3.75    ,  -78.982443051015
4       ,  -78.465648420518
4.25    ,  -77.596559343277
4.5     ,  -77.768989730634
4.75    ,  -77.633364751464
5       ,  -76.936711689002
5.25    ,  -77.723210383409
5.5     ,  -77.142762604517
5.75    ,  -77.155879215609
6       ,  -76.725636135304
6.25    ,  -76.758839803066
6.5     ,  -76.406760110138
6.75    ,  -75.427989861838
7       ,  -75.935100834325
7.25    ,  -75.50022616311
7.5     ,  -75.568487327859
7.75    ,  -75.111551471502
8       ,  -74.836616485503
8.25    ,  -74.504673111525
8.5     ,  -74.393925961843
8.75    ,  -74.123640813475
9       ,  -73.793699288174
9.25    ,  -73.522477975545
9.5     ,  -72.985331949657
9.75    ,  -73.462707552022
10      ,  -72.551941912245
