! (Pin, Pout) in dBm
! @ 7.905 GHz
-25     ,  -17.745126038067
-24.75  ,  -17.496262145621
-24.5   ,  -17.246471374405
-24.25  ,  -17.000021132975
-24     ,  -16.752887853628
-23.75  ,  -16.49759864808
-23.5   ,  -16.249123122864
-23.25  ,  -15.998997541615
-23     ,  -15.751404465374
-22.75  ,  -15.501378576376
-22.5   ,  -15.249333110337
-22.25  ,  -14.999724465805
-22     ,  -14.753803156067
-21.75  ,  -14.497140492681
-21.5   ,  -14.24937312
-21.25  ,  -14.000153890077
-21     ,  -13.758576315978
-20.75  ,  -13.491912851681
-20.5   ,  -13.254363907839
-20.25  ,  -13.003320955268
-20     ,  -12.752758674252
-19.75  ,  -12.496289628662
-19.5   ,  -12.251990020265
-19.25  ,  -12.001886189573
-19     ,  -11.752566844
-18.75  ,  -11.500288538655
-18.5   ,  -11.250828812309
-18.25  ,  -11.000146188472
-18     ,  -10.747756067039
-17.75  ,  -10.502146225938
-17.5   ,  -10.253504324424
-17.25  ,  -10.000484067053
-17     ,  -9.7531064256328
-16.75  ,  -9.4999259827435
-16.5   ,  -9.2522607517356
-16.25  ,  -9.0004466090978
-16     ,  -8.7530247876437
-15.75  ,  -8.5015058288686
-15.5   ,  -8.2522241332107
-15.25  ,  -8.0032786980928
-15     ,  -7.7522160666878
-14.75  ,  -7.5024803075016
-14.5   ,  -7.2527966389128
-14.25  ,  -7.0045206596429
-14     ,  -6.7549390516801
-13.75  ,  -6.5030249097808
-13.5   ,  -6.2528623774915
-13.25  ,  -6.0030069529495
-13     ,  -5.7532147637798
-12.75  ,  -5.504694848413
-12.5   ,  -5.2556733569456
-12.25  ,  -5.0047056179072
-12     ,  -4.7553830543638
-11.75  ,  -4.5070317322108
-11.5   ,  -4.2564625264901
-11.25  ,  -4.0062879563217
-11     ,  -3.757230938121
-10.75  ,  -3.5066393395723
-10.5   ,  -3.2594670278442
-10.25  ,  -3.0097956433761
-10     ,  -2.7601513370634
-9.75   ,  -2.5114903347523
-9.5    ,  -2.2628854515967
-9.25   ,  -2.0134239252179
-9      ,  -1.7638892665717
-8.75   ,  -1.5159008861851
-8.5    ,  -1.2677924653434
-8.25   ,  -1.0201843706575
-8      ,  -0.7715216094047
-7.75   ,  -0.52405284774002
-7.5    ,  -0.27580829163826
-7.25   ,  -0.027562019706286
-7      ,  0.22028728943188
-6.75   ,  0.46629237752993
-6.5    ,  0.71317320351259
-6.25   ,  0.96069084951433
-6      ,  1.2073455534091
-5.75   ,  1.4537759498869
-5.5    ,  1.6985813475094
-5.25   ,  1.9435002917566
-5      ,  2.1893301719642
-4.75   ,  2.4335090559732
-4.5    ,  2.6768279532344
-4.25   ,  2.9207214620902
-4      ,  3.1617363642249
-3.75   ,  3.405323544871
-3.5    ,  3.6472382585238
-3.25   ,  3.8866217862241
-3      ,  4.1266720626121
-2.75   ,  4.3644297097445
-2.5    ,  4.6020646396627
-2.25   ,  4.8381025999585
-2      ,  5.0729784708991
-1.75   ,  5.3059824491551
-1.5    ,  5.538001584469
-1.25   ,  5.7683988683098
-1      ,  5.99540828785
-0.75   ,  6.2195843464109
-0.5    ,  6.4436217759218
-0.25   ,  6.6636668891137
0       ,  6.8808972861165
0.25    ,  7.092613357085
0.5     ,  7.2996234517299
0.75    ,  7.5040964781706
1       ,  7.7034954452993
1.25    ,  7.8960547898782
1.5     ,  8.0879355521809
1.75    ,  8.2676603246996
2       ,  8.4463955927635
2.25    ,  8.6180567542012
2.5     ,  8.7860184801108
2.75    ,  8.941385201204
3       ,  9.0968505539711
3.25    ,  9.2427026627877
3.5     ,  9.3886056178905
3.75    ,  9.532267004366
4       ,  9.6628592063426
4.25    ,  9.7981744952637
4.5     ,  9.9262456827393
4.75    ,  10.06498761035
5       ,  10.187894869953
5.25    ,  10.355571797206
5.5     ,  10.480310801603
5.75    ,  10.602280983986
6       ,  10.734034571938
6.25    ,  10.838840314395
6.5     ,  10.940498393672
6.75    ,  11.051818367045
7       ,  11.161761005815
7.25    ,  11.274655244341
7.5     ,  11.382655542167
7.75    ,  11.497216824988
8       ,  11.610125333667
8.25    ,  11.729077526486
8.5     ,  11.843051183633
8.75    ,  11.9580365423
9       ,  12.072605397325
9.25    ,  12.17017558681
9.5     ,  12.266017831918
9.75    ,  12.361267446145
10      ,  12.461166553991
