! (Pin, Pout) in dBm
! @ 935.008 MHz
-25     ,  -9.7487755785333
-24.75  ,  -9.4889729424392
-24.5   ,  -9.2416445895263
-24.25  ,  -8.9916661835775
-24     ,  -8.7441257137828
-23.75  ,  -8.4925534249598
-23.5   ,  -8.2395561006386
-23.25  ,  -7.9905768716358
-23     ,  -7.7401797726206
-22.75  ,  -7.4922199729993
-22.5   ,  -7.2380775038549
-22.25  ,  -6.991327488321
-22     ,  -6.7408891027558
-21.75  ,  -6.4895453759868
-21.5   ,  -6.2417474327477
-21.25  ,  -5.9942682953988
-21     ,  -5.7402985802812
-20.75  ,  -5.4891257105272
-20.5   ,  -5.242588939733
-20.25  ,  -4.9945409718171
-20     ,  -4.745534158446
-19.75  ,  -4.489714605308
-19.5   ,  -4.2430515931268
-19.25  ,  -3.9937786261456
-19     ,  -3.7451004726011
-18.75  ,  -3.4946276323964
-18.5   ,  -3.2391407259743
-18.25  ,  -2.9915927358963
-18     ,  -2.7428626394047
-17.75  ,  -2.4923651781724
-17.5   ,  -2.2429449139215
-17.25  ,  -1.9934398297551
-17     ,  -1.7416466571697
-16.75  ,  -1.4928993357431
-16.5   ,  -1.2455584555128
-16.25  ,  -0.99332312751629
-16     ,  -0.74337134740589
-15.75  ,  -0.49118653432616
-15.5   ,  -0.24458491345388
-15.25  ,  0.0058411996918011
-15     ,  0.25464622596244
-14.75  ,  0.50633019140594
-14.5   ,  0.7554261207133
-14.25  ,  1.0028983178152
-14     ,  1.2554866867285
-13.75  ,  1.5040922720172
-13.5   ,  1.7545798176556
-13.25  ,  2.0014863717948
-13     ,  2.2542700878615
-12.75  ,  2.5028661454858
-12.5   ,  2.752760339416
-12.25  ,  3.0042792318009
-12     ,  3.2523296106199
-11.75  ,  3.5014379766044
-11.5   ,  3.750889844886
-11.25  ,  4.0024622899354
-11     ,  4.2515037248041
-10.75  ,  4.5026013477052
-10.5   ,  4.751463151995
-10.25  ,  5.0028783450123
-10     ,  5.2499140539129
-9.75   ,  5.4985287253302
-9.5    ,  5.7491622895077
-9.25   ,  5.9969003569506
-9      ,  6.2489623967554
-8.75   ,  6.4979184100416
-8.5    ,  6.7476835565258
-8.25   ,  6.9968283751259
-8      ,  7.2469904576625
-7.75   ,  7.4968774545527
-7.5    ,  7.7458776150042
-7.25   ,  7.994920360778
-7      ,  8.2444734258921
-6.75   ,  8.4922434024025
-6.5    ,  8.7416187661862
-6.25   ,  8.9923200181114
-6      ,  9.2409955721258
-5.75   ,  9.4890841118412
-5.5    ,  9.7398012761673
-5.25   ,  9.9884666988683
-5      ,  10.236903654803
-4.75   ,  10.486187284412
-4.5    ,  10.735004192807
-4.25   ,  10.984299512525
-4      ,  11.232869056505
-3.75   ,  11.48152212986
-3.5    ,  11.73031102851
-3.25   ,  11.977659592347
-3      ,  12.227313541008
-2.75   ,  12.475015054805
-2.5    ,  12.723485206275
-2.25   ,  12.970984181338
-2      ,  13.218999985796
-1.75   ,  13.465341173806
-1.5    ,  13.714158127225
-1.25   ,  13.96062213239
-1      ,  14.208100626073
-0.75   ,  14.454274845619
-0.5    ,  14.699335292412
-0.25   ,  14.944925271602
0       ,  15.190888147236
0.25    ,  15.436513862757
0.5     ,  15.67947000387
0.75    ,  15.923949837922
1       ,  16.167185897156
1.25    ,  16.407787526076
1.5     ,  16.649083045847
1.75    ,  16.888473836289
2       ,  17.126470847961
2.25    ,  17.363154445899
2.5     ,  17.596794000369
2.75    ,  17.825251834957
3       ,  18.051153815271
3.25    ,  18.266376268303
3.5     ,  18.475364250077
3.75    ,  18.665801142741
4       ,  18.847378364772
4.25    ,  19.011057147114
4.5     ,  19.15913915833
4.75    ,  19.299122211332
5       ,  19.424895591798
5.25    ,  19.573504444894
5.5     ,  19.644711552108
5.75    ,  19.734495586907
6       ,  19.823551453512
6.25    ,  19.886968175215
6.5     ,  19.934473694006
6.75    ,  19.974473394869
7       ,  20.030337764821
7.25    ,  20.07927998581
7.5     ,  20.129721274105
7.75    ,  20.172921302237
8       ,  20.229956338905
8.25    ,  20.271309408914
8.5     ,  20.31744136172
8.75    ,  20.354765777835
9       ,  20.403410752054
9.25    ,  20.437346484171
9.5     ,  20.470467164596
9.75    ,  20.496373456196
10      ,  20.543635962178
