! R&S PA Compression Test Version 1.5.4
! (C) 2016 Rohde & Schwarz North America
! 
! Fri Jan 15 01:34:17 2016
! 
! VNA INSTRUMENT INFO
! Connection:       TCPIP
! Address:          127.0.0.1
! Make:             Rohde & Schwarz
! Model:            ZVA
! Serial No:        1145101099999999
! Firmware Version: 3.60
! Min Frequency:    300 KHz
! Max Frequency:    8 GHz
! Number of Ports:  4
! Options:
!     ZVA-K7
!     ZVA-K17
!     ZVAB-SIM
!     ZVT8-B63
!     ZVT8-B64
!     ZVT8-B65
!     ZVT8-B66
!     ZVT8-B68
!     ZVA8-B16
!     ZVA8-B21
!     ZVA8-B22
!     ZVA8-B23
!     ZVA8-B24
!     ZVA8-B31
!     ZVA8-B32
!     ZVA8-B33
!     ZVA8-B34
!     ZVT8-B67
!     ZVA-B7
! 
! PULSED RF? No
! 
! SETTINGS
! Start Frequency:        500 MHz
! Stop Frequency:         6 GHz
! Frequency Points:       51
! IF BW:                  100 KHz
! 
! Start Power:            -20 dBm
! Stop Power:             10 dBm
! Power Points:           61
! Compression value:      1 dB
! Include gain expansion? Yes
! Stop at compression?    Yes
! Post Condition:         None
! 
! Channel:                1
! Input port:             1
! Output port:            2
! 
! 
Frequency_Hz,            Pin[Max Gain]_dBm,       Max Gain_dB,             Pout[Max]_dBm,           Pin[Comp]_dBm,           Gain[Comp]_dB,           Pout[Comp]_dBm
5.000000000000000e+08,   -1.808214004616430e+01,  1.579250890870043e+01,   -2.289631137463870e+00,  3.451352851912000e+00,   1.479250890870043e+01,   1.824386176061243e+01
6.100000000000000e+08,   -1.761284718874147e+01,  1.585496415678816e+01,   -1.757883031953305e+00,  2.123784441145753e+00,   1.485496415678816e+01,   1.697874859793392e+01
7.200000000000000e+08,   -1.903818730003836e+01,  1.575858695258619e+01,   -3.279600347452167e+00,  7.253257164371090e-01,   1.475858695258619e+01,   1.548391266902330e+01
8.300000000000000e+08,   -1.848187774208506e+01,  1.574944859928204e+01,   -2.732429142803017e+00,  -1.870781982095593e-01,  1.474944859928204e+01,   1.456237040107249e+01
9.400000000000000e+08,   -1.946414305919117e+01,  1.583527655627538e+01,   -3.628866502915795e+00,  -1.652033420043669e-01,  1.483527655627538e+01,   1.467007321427101e+01
1.050000000000000e+09,   -1.997579089830775e+01,  1.587666512990016e+01,   -4.099125768407589e+00,  -5.610315774338915e-01,  1.487666512990016e+01,   1.431563355246627e+01
1.160000000000000e+09,   -1.803679008539851e+01,  1.584621488474941e+01,   -2.190575200649100e+00,  -1.436870461824713e+00,  1.484621488474941e+01,   1.340934442292470e+01
1.270000000000000e+09,   -1.944691931146772e+01,  1.576671278029726e+01,   -3.680206531170455e+00,  -1.008048727731045e+00,  1.476671278029726e+01,   1.375866405256622e+01
1.380000000000000e+09,   -1.487704426121381e+01,  1.572004964132849e+01,   8.430053801146755e-01,   -8.633472534701994e-01,  1.472004964132849e+01,   1.385670238785829e+01
1.490000000000000e+09,   -1.694146711315830e+01,  1.568442368962235e+01,   -1.257043423535944e+00,  -1.370907886225863e+00,  1.468442368962235e+01,   1.331351580339649e+01
1.600000000000000e+09,   -1.911090594239072e+01,  1.578064169337077e+01,   -3.330264249019946e+00,  -1.357902013805212e+00,  1.478064169337077e+01,   1.342273967956556e+01
1.710000000000000e+09,   -1.897432395069588e+01,  1.569158046244880e+01,   -3.282743488247071e+00,  -1.355184602667565e+00,  1.469158046244880e+01,   1.333639585978124e+01
1.820000000000000e+09,   -1.861959490236672e+01,  1.570002499332543e+01,   -2.919569909041291e+00,  -1.729140697114615e+00,  1.470002499332543e+01,   1.297088429621082e+01
1.930000000000000e+09,   -1.993085331836048e+01,  1.565267505777498e+01,   -4.278178260585493e+00,  -1.558714061213257e+00,  1.465267505777498e+01,   1.309396099656173e+01
2.040000000000000e+09,   -1.801071046697518e+01,  1.565222366409082e+01,   -2.358486802884361e+00,  4.866065025270441e-03,   1.465222366409082e+01,   1.465708972911609e+01
2.150000000000000e+09,   -1.750420725095510e+01,  1.550305040155116e+01,   -2.001156849403943e+00,  6.133399145250644e-01,   1.450305040155116e+01,   1.511639031607623e+01
2.260000000000000e+09,   -1.742386749669026e+01,  1.556234911819056e+01,   -1.861518378499699e+00,  5.662730188106959e-01,   1.456234911819056e+01,   1.512862213700125e+01
2.370000000000000e+09,   -1.929756469974622e+01,  1.545551290229914e+01,   -3.842051797447089e+00,  6.814987884954739e-01,   1.445551290229914e+01,   1.513701169079461e+01
2.480000000000000e+09,   -1.882191442830919e+01,  1.549072890750782e+01,   -3.331185520801370e+00,  1.377057024831646e+00,   1.449072890750782e+01,   1.586778593233947e+01
2.590000000000000e+09,   -1.571130328044287e+01,  1.539375740671918e+01,   -3.175458737236880e-01,  3.234196265700700e+00,   1.439375740671918e+01,   1.762795367241988e+01
2.700000000000000e+09,   -1.896662764186816e+01,  1.563460764858230e+01,   -3.332019993285858e+00,  2.973742412036278e+00,   1.463460764858230e+01,   1.760835006061858e+01
2.810000000000000e+09,   -1.930005842145117e+01,  1.527633856276082e+01,   -4.023719858690345e+00,  2.511588275242238e+00,   1.427633856276082e+01,   1.678792683800306e+01
2.920000000000000e+09,   -1.981436761465061e+01,  1.564481627281711e+01,   -4.169551341833506e+00,  1.899705422221599e+00,   1.464481627281711e+01,   1.654452169503871e+01
3.030000000000000e+09,   -1.984764177931566e+01,  1.551880339413223e+01,   -4.328838385183426e+00,  1.763226656769956e+00,   1.451880339413223e+01,   1.628203005090219e+01
3.140000000000000e+09,   -1.443832377545469e+01,  1.553515810191206e+01,   1.096834326457367e+00,   1.916641134655982e+00,   1.453515810191206e+01,   1.645179923656804e+01
3.250000000000000e+09,   -1.620310124383354e+01,  1.557372537822790e+01,   -6.293758656056383e-01,  1.357546221077729e+00,   1.457372537822790e+01,   1.593127159930563e+01
3.360000000000000e+09,   -1.790339839073372e+01,  1.564197590299651e+01,   -2.261422487737212e+00,  1.140810200292306e+00,   1.464197590299651e+01,   1.578278610328881e+01
3.470000000000000e+09,   -1.663808177012461e+01,  1.546119110200426e+01,   -1.176890668120343e+00,  4.594949666955244e-01,   1.446119110200426e+01,   1.492068606869979e+01
3.580000000000000e+09,   -1.966197465366857e+01,  1.557977021173030e+01,   -4.082204441938261e+00,  -4.199120147431993e-01,  1.457977021173030e+01,   1.415985819698711e+01
3.690000000000000e+09,   -1.899491077452606e+01,  1.566252391287286e+01,   -3.332386861653204e+00,  6.493272739716310e-02,   1.466252391287286e+01,   1.472745664027002e+01
3.800000000000000e+09,   -1.913639090449033e+01,  1.549401226557995e+01,   -3.642378638910385e+00,  -8.692546371902181e-01,  1.449401226557995e+01,   1.362475762838973e+01
3.910000000000000e+09,   -1.651574214670844e+01,  1.561358853929606e+01,   -9.021536074123802e-01,  -5.553267553155937e-01,  1.461358853929606e+01,   1.405826178398047e+01
4.020000000000000e+09,   -1.960758578955709e+01,  1.557139725170883e+01,   -4.036188537848258e+00,  -9.174501827244459e-01,  1.457139725170883e+01,   1.365394706898439e+01
4.130000000000000e+09,   -1.901803880825644e+01,  1.582233059573566e+01,   -3.195708212520781e+00,  -9.167286741680067e-01,  1.482233059573566e+01,   1.390560192156765e+01
4.240000000000000e+09,   -1.971573533731751e+01,  1.577371352889010e+01,   -3.942021808427413e+00,  -8.340007973764710e-01,  1.477371352889010e+01,   1.393971273151363e+01
4.350000000000000e+09,   -1.799493812088655e+01,  1.596071869929523e+01,   -2.034219421591319e+00,  -1.152430437879767e+00,  1.496071869929523e+01,   1.380828826141547e+01
4.460000000000000e+09,   -1.833581368587095e+01,  1.590618732327455e+01,   -2.429626362596407e+00,  -3.277305219096031e-01,  1.490618732327455e+01,   1.457845680136494e+01
4.570000000000000e+09,   -1.862690214607530e+01,  1.593417697342541e+01,   -2.692725172649887e+00,  -6.085811377491168e-01,  1.493417697342541e+01,   1.432559583567629e+01
4.680000000000000e+09,   -1.969050283072257e+01,  1.603568355690516e+01,   -3.654819273817417e+00,  -4.098084703281490e-01,  1.503568355690516e+01,   1.462587508657701e+01
4.790000000000000e+09,   -1.772404757345962e+01,  1.583282685445409e+01,   -1.891220719005531e+00,  -2.415334249995849e-01,  1.483282685445409e+01,   1.459129342945451e+01
4.900000000000000e+09,   -1.777481587668569e+01,  1.596615212054636e+01,   -1.808663756139326e+00,  -3.421466409186760e-01,  1.496615212054636e+01,   1.462400547962768e+01
5.010000000000000e+09,   -1.959556705390371e+01,  1.557764529379474e+01,   -4.017921760108969e+00,  -5.231759687945021e-01,  1.457764529379474e+01,   1.405446932500024e+01
5.120000000000000e+09,   -1.776225353822313e+01,  1.583821360434204e+01,   -1.924039933881092e+00,  -9.786879680082879e-01,  1.483821360434204e+01,   1.385952563633375e+01
5.230000000000000e+09,   -1.912388316259167e+01,  1.574990214732356e+01,   -3.373981015268107e+00,  -1.223309934258888e+00,  1.474990214732356e+01,   1.352659221306467e+01
5.340000000000000e+09,   -1.777037784320116e+01,  1.523479273988619e+01,   -2.535585103314967e+00,  -1.204508182653934e+00,  1.423479273988619e+01,   1.303028455723226e+01
5.450000000000000e+09,   -1.839480487553654e+01,  1.557789348322846e+01,   -2.816911392308079e+00,  -1.752341042112327e+00,  1.457789348322846e+01,   1.282555244111613e+01
5.560000000000000e+09,   -1.974209954559171e+01,  1.500841496685947e+01,   -4.733684578732236e+00,  -1.631302197335629e+00,  1.400841496685947e+01,   1.237711276952384e+01
5.670000000000000e+09,   -1.844784769176076e+01,  1.476102573430999e+01,   -3.686821957450778e+00,  -1.643483765141970e+00,  1.376102573430999e+01,   1.211754196916802e+01
5.780000000000000e+09,   -1.970245078494278e+01,  1.477909268548251e+01,   -4.923358099460270e+00,  -1.834547047779241e+00,  1.377909268548251e+01,   1.194454563770327e+01
5.890000000000000e+09,   -1.972535160623257e+01,  1.366033305853832e+01,   -6.065018547694253e+00,  -1.523847868632248e+00,  1.266033305853832e+01,   1.113648518990607e+01
6.000000000000000e+09,   -1.752282393321730e+01,  1.377282690592495e+01,   -3.749997027292345e+00,  -1.630095883129585e+00,  1.277282690592495e+01,   1.114273102279537e+01
